date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:04:04	814/814	---M--	200	added ('OK')	text/plain	date:Mon,%2024%20Aug%202020%2019:04:04%20GMT	https://testing.literatehosting.com/robots.txt		(from )
15:04:04	6422/6422	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Aug%202020%2019:04:04%20GMT	https://testing.literatehosting.com/	/data/wptesting.literatehosting.com/testing/testing.literatehosting.com/index.html	(from )
15:04:05	1810/1810	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Feb%202020%2016:49:49%20GMT	https://testing.literatehosting.com/uploads/default/optimized/1X/_129430568242d1b7f853bb13ebea28b3f6af4e7_2_32x32.png	/data/wptesting.literatehosting.com/testing/testing.literatehosting.com/uploads/default/optimized/1X/_129430568242d1b7f853bb13ebea28b3f6af4e7_2_32x32.png	(from https://testing.literatehosting.com/)
15:04:06	12537/12537	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Feb%202020%2016:49:50%20GMT	https://testing.literatehosting.com/uploads/default/optimized/1X/_129430568242d1b7f853bb13ebea28b3f6af4e7_2_180x180.png	/data/wptesting.literatehosting.com/testing/testing.literatehosting.com/uploads/default/optimized/1X/_129430568242d1b7f853bb13ebea28b3f6af4e7_2_180x180.png	(from https://testing.literatehosting.com/)
15:04:07	694/694	---M--	200	added ('OK')	application/xml	date:Mon,%2024%20Aug%202020%2019:04:07%20GMT	https://testing.literatehosting.com/opensearch.xml	/data/wptesting.literatehosting.com/testing/testing.literatehosting.com/opensearch.xml	(from https://testing.literatehosting.com/)
15:04:09	327648/327648	---MCZ	200	added ('OK')	text/css	date:Fri,%2021%20Aug%202020%2021:18:36%20GMT	https://testing.literatehosting.com/stylesheets/desktop_2_e1e7446ef193bc952528e65ef8eac8592397d38f.css?__ws=testing.literatehosting.com	/data/wptesting.literatehosting.com/testing/testing.literatehosting.com/stylesheets/desktop_2_e1e7446ef193bc952528e65ef8eac8592397d38f.css_;%20filename_=UTF-8''desktop_2_e1e7446ef193bc952528e65ef8eac8592397d38fd7a9.css	(from https://testing.literatehosting.com/)
15:04:09	90/90	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20Aug%202020%2021:21:49%20GMT	https://testing.literatehosting.com/stylesheets/desktop_theme_2_e0951e3abd6319e33a4ad30c0eefa886aba11456.css?__ws=testing.literatehosting.com	/data/wptesting.literatehosting.com/testing/testing.literatehosting.com/stylesheets/desktop_theme_2_e0951e3abd6319e33a4ad30c0eefa886aba11456.css_;%20filename_=UTF-8''desktop_theme_2_e0951e3abd6319e33a4ad30c0eefa886aba11456d7a9.css	(from https://testing.literatehosting.com/)
15:04:10	1166/1166	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2021%20Aug%202020%2021:22:37%20GMT	https://testing.literatehosting.com/theme-javascripts/60ea166c44d2a9e0e7a1a5df802d368847534216.js?__ws=testing.literatehosting.com	/data/wptesting.literatehosting.com/testing/testing.literatehosting.com/theme-javascripts/60ea166c44d2a9e0e7a1a5df802d368847534216.js_;%20filename_=UTF-8''60ea166c44d2a9e0e7a1a5df802d368847534216d7a9.js	(from https://testing.literatehosting.com/)
15:04:12	169105/169105	---M--	200	added ('OK')	image/png	date:Sun,%2016%20Aug%202020%2021:07:26%20GMT	https://testing.literatehosting.com/images/discourse-logo-sketch.png	/data/wptesting.literatehosting.com/testing/testing.literatehosting.com/images/discourse-logo-sketch.png	(from https://testing.literatehosting.com/)
15:04:13	9555/9555	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Aug%202020%2019:04:12%20GMT	https://testing.literatehosting.com/c/transcription/5	/data/wptesting.literatehosting.com/testing/testing.literatehosting.com/c/transcription/5.html	(from https://testing.literatehosting.com/)
